qid,value,note
1,0.9,k=10
2,0.4,k=10
4,1.0,k=10
5,0.9,k=10
7,0.5,k=10
9,0.2,k=10
10,0.8,k=10
11,0.7,k=10
12,0.8,k=10
13,0.6,k=10
16,0.7,k=10
18,0.2,k=10
19,0.3,k=10
20,0.5,k=10
21,0.0,k=10
23,0.8,k=10
25,1.0,k=10
26,0.0,k=10
27,0.5,k=10
28,0.7,k=10
31,0.4,k=10
32,0.5,k=10
36,0.7,k=10
37,0.0,k=10
38,0.6,k=10
39,0.8,k=10
41,1.0,k=10
42,0.7,k=10
43,0.2,k=10
44,0.5,k=10
46,0.1,k=10
49,0.2,k=10
50,0.8,k=10
51,1.0,k=10
53,0.9,k=10
54,0.3,k=10
55,0.8,k=10
58,0.9,k=10
62,0.8,k=10
63,0.3,k=10
65,0.9,k=10
66,0.5,k=10
67,0.6,k=10
68,1.0,k=10
69,0.6,k=10
73,0.8,k=10
75,0.1,k=10
76,0.1,k=10
77,0.5,k=10
82,0.4,k=10
map,0.4015140953892846
